Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoEnergySystem,TBox,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoEnergySystem,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoEnergySystem,TBox,OntoEnergySystem is an ontology developed for representing energy systems.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoEnergySystem,TBox,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,http://www.w3.org/2002/07/owl#imports,,,,,,
Asset,Class,,,,,,"A physical item of property, which is of value and available to meet debts, commitments, or legacies. Normally, asset is persisted by a natural person, company or any organisations.",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#System,Class,,,,,,  ,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,Class,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
GeographicalArea,Class,,,,,,"A demarcated area of the Earth.The boundary of the area is of arbitrary which means it can be official, like the border of country,  or non-offical ones forming from any conventional rules or even the boundaries with no underlying meaning.  ",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
EnergySystem,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#System,IS-A,,,,"A system primarily designed to supply energy-services to end-users. All components of energy system are related to the production, conversion, delivery, and use of energy. The energy type can be of variety includes both primary and secondary energy sources.",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
ElectricPowerSystem,Class,EnergySystem,IS-A,,,,"A network of electrical components deployed to supply, transfer, and use electric power.  An example of a power system is the electrical grid that provides power to homes, industries, etc.",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
ElectricPowerSystem,Class,http://www.theworldavatar.com/ontology/ontopowsys/PowSysRealization.owl#PowerSystem,EQUIVALENT-TO,,,,,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
NaturalGasSystem,Class,EnergySystem,IS-A,,,,"A transmission network (system) of gas pipelines that supply gas to end-users from natural gas terminals situated on the coast, and to gas distribution companies that supply commercial and domestic users.",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
EnergyConsumption,Class,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,IS-A,,,,The amount of energy or power used. The consumer can be of any types includes a given area. ,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
ElectricityConsumption,Class,EnergyConsumption,IS-A,,,,The form of energy consumption that uses electric energy. Electric energy consumption is the actual energy demand made on existing electricity supply which is not equal to the nominal demanding.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
TotalElectricityConsumption,Class,ElectricityConsumption,IS-A,,,,The accumulated amount of ElectricityConsumption over a time period such as on a year base. It is composed of both DomesticElectricityConsumption and Non-DomesticElectricityConsumption.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
Non-DomesticElectricityConsumption,Class,ElectricityConsumption,IS-A,,,,A part of TotalElectricityConsumption which refers to the electricity consumed by non-domestic consumers or purposes. It can be subdivided into  IndustrialElectricityConsumption and IndustrialElectricityConsumption.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
DomesticElectricityConsumption,Class,ElectricityConsumption,IS-A,,,,"The rest part of TotalElectricityConsumption which refers to the electricity used by domestic purposes, conceptually opposites to Non-DomesticElectricityConsumption.",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
IndustrialElectricityConsumption,Class,Non-DomesticElectricityConsumption,IS-A,,,,"One of the components of the Non-DomesticElectricityConsumption, which refers to the electric energy is predominantly used for industrial purpose, such as production, as well as for lighting and other business uses in the manufacturing industries.",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
CommercialElectricityConsumption,Class,Non-DomesticElectricityConsumption,IS-A,,,,"One of the components of the Non-DomesticElectricityConsumption which is totally different from IndustrialElectricityConsumption. It specifically refers to the electricity consumed the by nonmanufacturing establishments or agencies primarily engaged in the sale of goods or services. In short, CommercialElectricityConsumption includes the consumption of the service sector. It is highly connected to population growth (as services tend to population serving).",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
AdministrativeDivision,Class,GeographicalArea,IS-A,,,,"A generic name for geographical areas into which a particular, independent sovereign state (country) is divided. Such a unit usually has an administrative authority with the power to take administrative or policy decisions for its area.",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
http://www.theworldavatar.com/ontology/ontoeip/powerplants/PowerPlant.owl#PowerPlant,Class,Asset,IS-A,,,,,http://www.theworldavatar.com/ontology/ontoeip/powerplants/PowerPlant.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#hasProperty,Object Property,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#isPropertyOf,Object Property,,,EnergyConsumption,EnergySystem,some,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#isPropertyOf,Object Property,,,ElectricityConsumption,ElectricPowerSystem,some,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
isObservedIn,Object Property,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,GeographicalArea,,A relation between a phenomena and its observed object.  It is the inverse property of observes.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
observes,Object Property,,,GeographicalArea,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#Property,,A relation is the inverse of isObservedIn.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
hasRelevantPlace,Object Property,,,Asset,GeographicalArea,,A relation between an asset and its relevant areas. Normally it refers to the area where the asset located in.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
hasEnergyConsumedAmountOf,Object Property,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#hasProperty,IS-A,EnergySystem,EnergyConsumption,,A relation links an EnergySystem with the energy consumption which is met by it. ,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#contains,Object Property,,,,,,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#,
hasElectricityConsumedAmountOf,Object Property,hasEnergyConsumedAmountOf,IS-A,ElectricPowerSystem,ElectricityConsumption,,A relation links an EnergySystem with the electic energy consumption which is met by it. ,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
isIncludedOf,Object Property,,,,,,A relation is the inverse of includes.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
includes,Object Property,,,,,,"A relation of containment, which is the inverse of isIncludedOf",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
includes,Object Property,,,TotalElectricityConsumption,Non-DomesticElectricityConsumption UNION DomesticElectricityConsumption,only,"A relation of containment, which is the inverse of isIncludedOf",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
includes,Object Property,,,Non-DomesticElectricityConsumption,IndustrialElectricityConsumption UNION CommercialElectricityConsumption,only,"A relation of containment, which is the inverse of isIncludedOf",http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#isDirectSubsystemOf,Object Property,,,ElectricPowerSystem,ElectricPowerSystem,some,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#isDirectSubsystemOf,Object Property,,,NaturalGasSystem,NaturalGasSystem,some,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#hasValue,Object Property,,,TotalElectricityConsumption,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#ScalarValue,max 1,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#hasValue,Object Property,,,Non-DomesticElectricityConsumption,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#ScalarValue,max 1,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#hasValue,Object Property,,,DomesticElectricityConsumption,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#ScalarValue,max 1,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#hasValue,Object Property,,,IndustrialElectricityConsumption,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#ScalarValue,max 1,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#hasValue,Object Property,,,CommercialElectricityConsumption,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl#ScalarValue,max 1,,http://www.theworldavatar.com/ontology/ontocape/upper_level/system.owl,
hasCode,Data Property,,,,String,,A relation between a GeographicalArea and its tag of any types of codes or indexes.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
hasLocalAuthorityCode,Data Property,,,AdministrativeDivision UNION Asset,String,,A relation between AdministrativeDivision and Land Authority code which it is tagged.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
hasLocalAuthorityCode,Data Property,hasCode,IS-A,,,,A relation between AdministrativeDivision and Land Authority code which it is tagged.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
hasLocalAuthorityCode,Data Property,,,AdministrativeDivision,String,exactly 1,A relation between AdministrativeDivision and Land Authority code which it is tagged.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
hasCoordinates,Data Property,,,,http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,,A relation between an objecgt and its Latitude-Longitude coordinate.,http://www.theworldavatar.com/ontology/ontoenergysystem/OntoEnergySystem.owl,
